url; request-time
http://www.alterneo.re/; 0.433644s 
https://www.vialsace.eu/; 0.415016s 
http://twl.alsace.cityway.fr/; URLError 
http://www.lignes-agglo.fr/; 1.171597s 
http://www.lebabus.com/; 0.779944s 
https://www.breizhgo.bzh; 0.650918s 
http://www.libeo-brive.fr/; 0.303741s 
http://www.bus-de-letang.fr/; 1.746879s 
http://www.carabus-transport.com/; 1.195461s 
https://www.carjaune.re/; 0.514290s 
https://www.carsud.re; 1.323304s 
http://www.citura.fr/; 2.266942s 
https://www.fluo.eu/; 0.615247s 
http://www.halo.yt/; 0.508415s 
http://www.transports-lia.fr/; 0.278084s 
https://www.simplicim-lorraine.eu/; URLError 
http://twl.lorraine.cityway.fr/; URLError 
https://www.viamobigo.fr/; 0.318968s 
http://www.mozaik.mq/; 2.090048s 
http://m.mozaik.mq/; 1.431190s 
http://itineraire.mobisavoie.fr/fr/itineraires/4/JourneyPlanner/Index; HTTPError 
https://www.triplinx.ca/; 1.416610s 
https://kedia.nc/; 3.953900s 
http://www.pam78.info/; HTTPError 
http://www.palmbus.fr/; 0.443642s 
http://www.transdevpaysdor.fr/; 0.541860s 
https://www.lepilote.com/; 0.601413s 
https://www.itinisere.fr/; 0.264410s 
http://www.rapidesdebourgogne.com/; 0.493387s 
https://www.rhonexpress.fr/; 1.113394s 
https://www.lignesdazur.com/; 0.391345s 
https://www.reseaumistral.com/fr; 0.600844s 
https://www.bus-intercom.com/; 0.743127s 
https://www.oise-mobilite.fr/; 0.629385s 
http://www.bus-star.com/; 2.635903s 
http://www.reseau-stas.fr/; 1.461555s 
http://www.stcl.fr/; 1.156689s 
http://www.stradibus.fr/; 0.644547s 
http://www.reseau-astuce.fr/; 1.367692s 
http://www.bus-ticea.com/; 0.698866s 
https://www.transgironde.fr/; 1.273408s 
https://www.transavold.com/; 0.563439s 
http://www.transbord.fr/; URLError 
https://www.transisere.fr/; 0.624129s 
